grupo,categoria,tipo_producto,titulo,pais,revista,ISSN,ano,vol,fasc,pags,autores
FILOSOFIA Y TEOLOGIA CRITICA,Otros artículos publicados,Revista de divulgación,Filosofía y literatura: El río del tiempo de Fernando Vallejo,Colombia,(0123-9864) Revista Fundación Universitaria Luis Amigó,0123-9864,2014,1,2,14 - 20,ANDRES ALFREDO CASTRILLON CASTRILLONNA
FILOSOFIA Y TEOLOGIA CRITICA,Otros artículos publicados,Revista de divulgación,El mundial de fútbol bajo la mirada de un creyente,Colombia,Vida Nueva Colombia,2145-6038,2014,99,N/A,23 - 30,JONATHAN ANDRES RUA PENAGOSNA
FILOSOFIA Y TEOLOGIA CRITICA,Otros artículos publicados,Revista de divulgación,Supervivencia del pensamiento Mesoamericano: legado histórico de la expresión Náhuatl,Colombia,El Fogón De Descartes,2339-3858,2014,N/A,N/A,57 - 69,PALOMA MARIN ESCOBARNA
FILOSOFIA Y TEOLOGIA CRITICA,Otros artículos publicados,Revista de divulgación,La importancia del ocio y el descanso en la vida del cristiano,Colombia,Revista Renovación,2357-6715,2014,45,330,34 - 35,JONATHAN ANDRES RUA PENAGOSNA
FILOSOFIA Y TEOLOGIA CRITICA,Otros artículos publicados,Revista de divulgación,La Educación Física y el Deporte en Colombia: Un diálogo entre la religión y la pedagogía en los inicios del siglo XX,Colombia,Revista Universitaria Luis Amigó,2382-3410,2014,1,1,50 - 62,"JONATHAN ANDRES RUA PENAGOS, JESUS MARIA PINILLOS GARCIANA"
FILOSOFIA Y TEOLOGIA CRITICA,Otros artículos publicados,Revista de divulgación,¿Qué es el amor platónico? El paso de la química del amor al eros filosófico,Colombia,Poiésis: Revista Electrónica de Psicología Social,1692-0945,2013,13,26,1 - 7,JONATHAN ANDRES RUA PENAGOSNA
FILOSOFIA Y TEOLOGIA CRITICA,Otros artículos publicados,Revista de divulgación,Maltrato infantil en el contexto deportivo: un dilema social,Colombia,Viref Revista De Educación Física,2322-9411,2013,2,3,67 - 77,JONATHAN ANDRES RUA PENAGOSNA
FILOSOFIA Y TEOLOGIA CRITICA,Otros artículos publicados,Revista de divulgación,La palabra detonante,Colombia,Cuadernos De Formación Avanzada,0124-7557,2002,14,,1 - 56,"VICTOR RAUL JARAMILLO RESTREPO, ALEXIS VELEZ, ARMANDO VELASQUEZ, HUGO URREGO, OSCAR FERNANDO ACEVEDONA"
URBANITAS,Otros artículos publicados,Periódico de noticias,La radio y la comprensión cultural: conocer las músicas andinas de la contemporaneidad,Colombia,Folios,0123-1022,2019,40,"NA",143 - 152,MARCOS VEGA SENANA
URBANITAS,Otros artículos publicados,Periódico de noticias,Los 80 de la Gota fría,Colombia,Revista Porro y Folclor,2248-4647,2018,25,25,25 - 27,MARCOS VEGA SENANA
