revista,ISSN,categoria,SJR_Q,cantidad,porcentaje
"REVISTA INTERAMERICANA DE
BIBLIOTECOLOGÍA",0120-0976,B,Q4,2,0.4
REVISTA COLOMBIANA DE EDUCACIÓN,0120-3916,C,Q3,2,0.4
HOW,0120-5927,B,Sin categoria,2,0.4
CUADERNOS DE FILOSOFÍA LATINOAMERICANA,0120-8462,C,Sin categoria,2,0.4
REVISTA DE INVESTIGACIONES,0121-067X,Sin categoria,Sin categoria,2,0.4
"ÍKALA, REVISTA DE LENGUAJE Y CULTURA",0123-3432,A2,Q2,2,0.4
ESTUDIOS GERENCIALES,0123-5923,B,Q4,2,0.4
TENDENCIAS,0124-8693,C,Sin categoria,2,0.4
REVISTA EDUCACIÓN,0379-7082,Sin categoria,Sin categoria,2,0.4
INFORMACION TECNOLOGICA,0718-0764,A2,Q2,2,0.4
INDIAN JOURNAL OF SCIENCE AND TECHNOLOGY,0974-5645,Sin categoria,Sin categoria,2,0.4
INTERNATIONAL JOURNAL OF SELF PROPAGATING HIGH TEMPERATURE SYNTHESIS,1061-3862,B,Q3,2,0.4
PSICOLOGIA CONDUCTUAL,1132-9483,B,Q3,2,0.4
REVISTA DE CIENCIAS SOCIALES,1315-9518,B,Q3,2,0.4
REVISTA LATINOAMERICANA DE PSICOPATOLOGIA FUNDAMENTAL,1415-4714,C,Q4,2,0.4
MOLECULES,1420-3049,A1,Q1,2,0.4
PHYSICAL CHEMISTRY CHEMICAL PHYSICS,1463-9076,A1,Q1,2,0.4
SALUD Y DROGAS,1578-5319,C,Q3,2,0.4
INTERDISCIPLINARIA,1668-7027,B,Q3,2,0.4
POIÉSIS: REVISTA ELECTRÓNICA DE PSICOLOGÍA SOCIAL,1692-0945,Sin categoria,Sin categoria,2,0.4
OPINIÓN JURÍDICA,1692-2530,C,Sin categoria,2,0.4
EQUIDAD Y DESARROLLO,1692-7311,B,Sin categoria,2,0.4
HALLAZGOS,1794-3841,B,Sin categoria,2,0.4
RATIO JURIS,1794-6638,Sin categoria,Sin categoria,2,0.4
WORLD NEUROSURGERY,1878-8750,A2,Q2,2,0.4
REVISTA POLITECNICA,1900-2351,Sin categoria,Sin categoria,2,0.4
VIA INVENIENDI ET IUDICANDI,1909-0528,C,Sin categoria,2,0.4
REVIEW OF EUROPEAN STUDIES,1918-7173,Sin categoria,Sin categoria,2,0.4
PSICOLOGIA EM PESQUISA,1982-1247,Sin categoria,Sin categoria,2,0.4
SALUD Y DROGAS,1988-205X,C,Q3,2,0.4
FUTURE INTERNET,1999-5903,A2,Q2,2,0.4
INVESTIGACIÓN & DESARROLLO,2011-7574,C,Sin categoria,2,0.4
REVISTA ACTIVA TECNOLÓGICO DE ANTIOQUIA,2027-8101,Sin categoria,Sin categoria,2,0.4
EDUCACIÓN SUPERIOR (SANTIAGO),2071-1271,Sin categoria,Sin categoria,2,0.4
"HISTORELO. REVISTA DE HISTORIA REGIONAL Y
LOCAL",2145-132X,A2,Q2,2,0.4
REVISTA DE PSICOLOGIA,2145-6569,Sin categoria,Sin categoria,2,0.4
ZONA PRÓXIMA,2145-9444,B,Sin categoria,2,0.4
REVISTA IBEROAMERICANA DE DIAGNOSTICO Y EVALUACION E AVALIACAO PSICOLOGICA,2183-6051,B,Sin categoria,2,0.4
REVISTA LATINOAMERICANA DE ESTUDIOS DE FAMILIA,2215-8758,Sin categoria,Sin categoria,2,0.4
REVISTA INVESTIGIUM IRE: CIENCIAS SOCIALES Y HUMANAS,2216-1473,Sin categoria,Sin categoria,2,0.4
UNIMINUTO-BOGOTÁ,2389-7341,Sin categoria,Sin categoria,2,0.4
HELIYON,2405-8440,A1,Q1,2,0.4
UTOPIA Y PRAXIS LATINOAMERICANA,2477-9555,Sin categoria,Sin categoria,2,0.4
ELECTROCHIMICA ACTA,0013-4686,A1,Q1,1,0.2
LIFE SCIENCES,0024-3205,A1,Q1,1,0.2
REVISTA BIBLICA,0034-7078,Sin categoria,Sin categoria,1,0.2
REVISTA COLOMBIANA DE PSIQUIATRÍA,0034-7450,C,Q3,1,0.2
WATER RESEARCH,0043-1354,A1,Q1,1,0.2
REVISTA DE LETRAS,0101-3505,C,Q4,1,0.2
CUESTIONES TEOLÓGICAS,0120-131X,Sin categoria,Sin categoria,1,0.2
THEOLOGICA XAVERIANA,0120-3649,B,Q4,1,0.2
