nombre_revista,clasificacion,ano,ISSN
REVISTA BOLETÍN REDIPE,C,2020,22561536
Praxis Filosófica,C,2020,01204688
Clio América,C,2020,1909941X
Praxis,C,2020,16574915
Revista Eia,B,2019,17941237
Mutatis Mutandis. Revista Latinoamericana De Traducción.,C,2020,2011799X
Revista De Psicología Universidad De Antioquia,C,2019,21454892
Revista Facultad Nacional De Salud Publica,B,2020,0120386X
Lingüística Y Literatura,C,2020,01205587
Trashumante,A2,2019,23229381
Revista Facultad De Ingeniería,B,2020,01206230
Contaduría Universidad De Antioquia,C,2020,01204203
Ad-Minister Revista Escuela De Administración,B,2020,16920279
Ingeniería Y Ciencia,B,2020,17949165
Dictamen Libre,C,2019,01240099
Revista Via Iuris,C,2019,19095759
Antípoda : Revista De Antropología Y Arqueología,A2,2019,19005407
Actualidades Pedagógicas,C,2019,01201700
Bitácora Urbano Territorial,C,2019,01247913
Gestión Y Ambiente,C,2020,0124177X
Revista Facultad Nacional De Agronomía - Medellín,C,2020,03042847
Acta Biológica Colombiana,B,2020,0120548X
Profile,B,2019,16570790
Revista Colombiana De Sociología,C,2020,0120159X
Revista Colombiana De Gastroenterología,C,2020,01209957
Revista Latinoamericana De Psicología,A2,2019,01200534
Ambiente Y Desarrollo,C,2019,01217607
Papel Político,C,2020,01224409
Cuadernos De Administración,C,2020,01203592
Apuntes,C,2020,16579763
Criterio Libre Jurídico,C,2020,17947200
Universitas Philosophica,C,2020,01205323
Revista Colombiana De Bioética,B,2020,19006896
Folios,B,2020,01234870
Revista Colombiana De Educación,B,2019,01203916
Desafíos,C,2019,01244035
Territorios,C,2019,01238418
Suma De Negocios,B,2019,2215910X
Biota Colombiana,C,2020,01245376
Aglala,B,2019,22157360
Via Inveniendi Et Iudicandi Revista Virtual,C,2019,19090528
Colombian Applied Linguistics Journal,B,2019,01234641
Ingeniería,B,2020,0121750X
Revista Urologia Colombiana,C,2020,0120789X
Revista Virtual Universidad Católica Del Norte,B,2019,01245821
Scientia Et Technica,B,2019,01221701
Memorias,B,2019,17948886
Memorias,B,2020,17948886
Zona Proxima,B,2019,21459444
Hacia La Promoción De La Salud,B,2020,01217577
Revista Integración,C,2019,0120419X
Salud Uis,C,2020,01210807
Revista Facultad De Derecho Y Ciencias Políticas,C,2020,01203886
Revista Mvz Córdoba,B,2019,01220268
International Journal Of Psychological Research,C,2020,20117922
Franciscanum,C,2019,01201468
Praxis & Saber,C,2020,22160159
Cuadernos De Lingüística Hispánica,B,2020,0121053X
"Revista De Investigacion, Desarrollo E Innovacion",B,2019,20278306
La Manzana De La Discordia,B,2020,19007922
Historia Y Espacio,B,2020,01204661
Cuadernos De Administración,B,2019,01204645
Universidad Y Salud,C,2019,01247107
Boletín De Investigaciones Marinas Y Costeras,B,2020,01229761
Revista Ingeniería Biomédica,C,2020,19099762
Revista Psicogente,B,2019,01240137
Iatreia,C,2020,01210793
Lingüística Y Literatura,C,2019,01205587
Investigación Y Educación En Enfermería,B,2020,01205307
Lecturas De Economía,B,2019,01202596
Mutatis Mutandis. Revista Latinoamericana De Traducción.,C,2019,2011799X
Entramado,B,2019,19003803
Cultura Educacion Y Sociedad,C,2019,21459258
Revista Pensamiento Americano,C,2019,20272448
Prospectiva,B,2020,16928261
Historia Caribe,C,2020,01228803
Revista Colombiana De Cirugía,C,2019,20117582
Historia Crítica,A2,2019,01211617
Antípoda : Revista De Antropología Y Arqueología,A2,2020,19005407
Ciencia E Ingeniería Neogranadina,B,2019,01248170
Equidad & Desarrollo,C,2019,16927311
Profile,B,2020,16570790
Avances De Enfermería,B,2019,01214500
Revista Colombiana De Ciencias Químico Farmacéuticas,C,2019,00347418
Ingeniería E Investigación,B,2019,01205609
"Revista Científica ""General José María Córdova""",C,2020,19006586
Finanzas Y Política Económica,B,2020,22486046
Investigación En Enfermería :Imagen Y Desarrollo,C,2019,01242059
Apuntes,C,2019,16579763
Universitas Scientiarum,B,2019,01227483
Investigación En Enfermería :Imagen Y Desarrollo,C,2020,01242059
Cuadernos De Vivienda Y Urbanismo,C,2019,20272103
Cuadernos De Contabilidad,B,2020,01231472
Theologica Xaveriana,A2,2019,01203649
Universitas Scientiarum,B,2020,01227483
Revista Escuela De Administración De Negocios,B,2019,01208160
Revista Salud Bosque,C,2020,22485759
Revista Salud Bosque,C,2019,22485759
Pedagogía Y Saberes,C,2019,01212494
Estudios Socio-Jurídicos,B,2020,01240579
"Anuario Electrónico De Estudios En Comunicación Social ""Disertarciones""",C,2020,18569536
Biota Colombiana,C,2019,01245376
"Revista De La Academia Colombiana De Ciencias Exactas, Físicas Y Naturales",B,2020,03703908
Revista Republicana,C,2020,19094450
Revista Científica,C,2019,01242253
Enunciación,C,2020,01226339
How,C,2020,01205927
"Ct&F Ciencia, Tecnología Y Futuro",C,2019,01225383
Ingenieria Y Desarrollo,C,2020,21459371
Psicología Desde El Caribe,B,2019,20117485
Revista De Economía Del Caribe,C,2020,20112106
Archivos De Medicina,C,2019,1657320X
"Revista Latinoamericana De Ciencias Sociales, Niñez Y Juventud",B,2019,1692715X
Archivos De Medicina,C,2020,1657320X
Ánfora,C,2020,01216538
Latinoamericana De Estudios Educativos,C,2019,19009895
Ciencia Y Cuidado,C,2020,17949831
Uis Ingenierías,B,2020,16574583
Ion,C,2019,0120100X
Informes Psicológicos,C,2020,21453535
International Journal Of Psychological Research,C,2019,20117922
Ingeniería Y Competitividad,C,2019,01233033
Tendencias,C,2019,01248693
Revista Latinoamericana De Etnomatemática,C,2019,20115474
Cs,B,2020,20110324
Revista Nacional De Odontología,C,2020,19003080
Tecno Lógicas,C,2020,01237799
Semestre Económico,C,2020,01206346
Revista Ingenierías Universidad De Medellín,B,2019,16923324
Opinión Jurídica,C,2019,16922530
Investigación e Innovación en Ingenierías,B,2020,23448652
Discusiones Filosóficas,C,2019,01246127
Revista Colombiana De Ciencias Pecuarias,B,2019,01200690
Vitae,C,2020,01214004
Revista Facultad Nacional De Salud Publica,B,2019,0120386X
Vitae,C,2019,01214004
Ces Odontología,B,2020,22159185
Revista Ces Psicología,B,2020,20113080
Criterio Libre,C,2019,19000642
Ingeniare,C,2019,19092458
Criterio Libre,C,2020,19000642
Revista Criminalidad,B,2020,17943108
Desarrollo Y Sociedad,C,2020,01203584
Colombia Internacional,A1,2019,01215612
Revista De Educación En Ingeniería,C,2019,19008260
Revista Latinoamericana De Bioetica/Latinamerican Journal Of Bioethics,B,2019,16574702
Revista Facultad De Ciencias Económicas : Investigación Y Reflexión,B,2019,01216805
Revista Colombiana De Matemáticas,C,2020,00347426
Anuario Colombiano De Historia Social,C,2020,01202456
Bitácora Urbano Territorial,C,2020,01247913
Ingeniería E Investigación,B,2020,01205609
Revista Colombiana De Estadística,B,2019,01201751
Earth Sciences Research Journal,B,2020,17946190
Acta Agronómica,C,2020,01202812
Trabajo Social,C,2020,01234986
Historelo : Revista De Historia Regional Y Local,C,2019,2145132X
Ideas Y Valores,B,2020,01200062
Revista Colombiana De Ciencias Químico Farmacéuticas,C,2020,00347418
Investigaciones Andina,C,2020,01248146
Revista Latinoamericana De Psicología,A2,2020,01200534
Acta Médica Colombiana,B,2019,01202448
"Gist, Education And Learning Research Journal",B,2019,16925777
Acta Colombiana De Psicología,C,2020,01239155
Cuadernos De Desarrollo Rural,B,2020,01221450
Cuadernos De Literatura,B,2020,01228102
Ingeniería Y Universidad,B,2019,01232126
Cuadernos De Desarrollo Rural,B,2019,01221450
Vniversitas,B,2020,00419060
Cuadernos De Administración,C,2019,01203592
Memoria Y Sociedad,B,2020,01225197
Universitas Humanística,B,2020,01204807
Magis - Revista Internacional De Investigación En Educación,C,2020,20271174
Revista Gerencia Y Políticas De Salud,C,2020,16577027
Vniversitas,B,2019,00419060
Revista Colombiana De Educación,B,2020,01203916
Suma Psicológica,B,2020,01214381
Colombia Forestal,B,2020,01200739
Revista Científica,C,2020,01242253
Revista Colombiana De Reumatología,C,2020,01218123
Investigación & Desarrollo,C,2020,20117574
Journal De Ciencia E Ingenieria,C,2020,21452628
Biotecnología En El Sector Agropecuario Y Agroindustrial,B,2020,16923561
Revista Colombiana De Tecnologías De Avanzada,B,2020,16927257
Sophia,C,2020,17948932
Boletín De Geología,B,2020,01200283
Boletín De Geología,B,2019,01200283
Palabra Clave,A2,2019,01228285
Revista De Investigacion Agraria Ambiental,C,2020,21456097
Revista Historia De La Educación Latinoamericana,B,2019,01227238
Revista Historia De La Educación Latinoamericana,B,2020,01227238
Revista Facultad De Ingeniería,B,2020,01211129
REVISTA BOLETÍN REDIPE,C,2019,22561536
Sociedad Y Economía,B,2020,16576357
La Manzana De La Discordia,B,2019,19007922
Universidad Y Salud,C,2020,01247107
Tendencias,C,2020,01248693
Clio América,C,2019,1909941X
Civilizar,B,2019,16578953
Revista Nacional De Odontología,C,2019,19003080
Tecno Lógicas,C,2019,01237799
Revista Ingeniería Biomédica,C,2019,19099762
Revista Ingenierías Universidad De Medellín,B,2020,16923324
Revista Colombiana De Ciencias Sociales,B,2020,22161201
Desarrollo Gerencial,B,2019,21455147
Investigación e Innovación en Ingenierías,B,2019,23448652
Justicia,B,2019,01247441
Revista Interamericana De Bibliotecología,C,2019,01200976
Boletín De Antropología,C,2019,01202510
Iatreia,C,2019,01210793
Boletín De Antropología,C,2020,01202510
Ecos De Economía,C,2020,16574206
Ces Odontología,B,2019,22159185
Ingeniare,C,2020,19092458
"Saber, Ciencia Y Libertad",B,2019,17947154
Juridicas Cuc,C,2020,16923030
Revista Iberoamericana De Psicología: Ciencia Y Tecnología,C,2019,20271786
Revista Iberoamericana De Psicología: Ciencia Y Tecnología,C,2020,20271786
Cuadernos De Literatura Del Caribe E Hispanoamérica,C,2020,17948290
Revista Derecho Del Estado,C,2020,01229893
Revista De Economía Institucional,C,2020,01245996
"Revista De Relaciones Internacionales, Estrategia Y Seguridad",C,2020,19093063
Prolegomenos : Derechos Y Valores,C,2019,0121182X
Caldasia,B,2020,03665232
Revista Colombiana De Psicología,B,2019,01215469
Agronomía Colombiana,C,2019,01209965
Anuario Colombiano De Historia Social,C,2019,01202456
Forma Y Función,C,2020,0120338X
Acta Agronómica,C,2019,01202812
"Innovar, Revista De Ciencias Administrativas Y Sociales",C,2020,01215051
Revista U.D.C.A. Actualidad & Divulgación Científica,B,2019,01234226
Finanzas Y Política Económica,B,2019,22486046
Cuadernos De Contabilidad,B,2019,01231472
Pensamiento Psicológico,B,2019,16578961
Pensamiento Psicológico,B,2020,16578961
Revista Colombiana De Bioética,B,2019,19006896
Revista Mvz Córdoba,B,2020,01220268
"Tea Tecné, Episteme Y Didaxis",C,2020,01213814
Revista Universidad Y Empresa,C,2019,01244639
Revista Universidad Y Empresa,C,2020,01244639
Fronteras De La Historia,C,2019,20274688
Revista Republicana,C,2019,19094450
Aglala,B,2020,22157360
Enunciación,C,2019,01226339
Colombia Forestal,B,2019,01200739
Revista Colombiana De Psiquiatría,C,2020,00347450
Revista Colombiana De Entomología,C,2020,01200488
Scientia Et Technica,B,2020,01221701
Eidos,B,2020,20117477
Pensamiento & Gestión,B,2020,2145941X
Plumilla Educativa,C,2020,16574672
"Revista Latinoamericana De Ciencias Sociales, Niñez Y Juventud",B,2020,1692715X
Boletín Científico Del Museo De Historia Natural,A1,2019,01233068
Hacia La Promoción De La Salud,B,2019,01217577
Revista Luna Azul,B,2019,19092474
Kepes,A1,2020,17947111
Eleuthera,C,2020,20114532
Jurídicas,B,2020,17942918
Revista Respuestas,B,2020,0122820X
Revista Respuestas,B,2019,0122820X
Revista Colombiana De Tecnologías De Avanzada,B,2019,16927257
Sophia,C,2019,17948932
Psychologia. Avances De La Disciplina,B,2020,19002386
Cuadernos De Lingüística Hispánica,B,2019,0121053X
La Palabra,B,2019,01218530
Revista Latinoamericana De Etnomatemática,C,2020,20115474
Estudios Gerenciales,B,2020,01235923
Duazary,C,2019,17945992
Ingenieria Solidaria,C,2019,19003102
Revista Eia,B,2020,17941237
Anagramas : Rumbos Y Sentidos De La Comunicación,C,2020,16922522
Revista Psicogente,B,2020,01240137
Ciencia e Innovación en Salud,B,2020,23448636
Desarrollo Gerencial,B,2020,21455147
Investigación Y Educación En Enfermería,B,2019,01205307
Contaduría Universidad De Antioquia,C,2019,01204203
Revista Colombiana De Ciencias Pecuarias,B,2020,01200690
Revista De Psicología Universidad De Antioquia,C,2020,21454892
Ces Medicina,C,2020,22159177
Dictamen Libre,C,2020,01240099
Verba Iuris,C,2020,01213474
Academia & Derecho,C,2019,22158944
Revista Cuidarte,B,2019,22160973
MUNDO FESC,C,2020,22160388
Revista Lasallista De Investigación,B,2019,17944449
Revista Lasallista De Investigación,B,2020,17944449
Revista Colombiana De Ciencias Hortícolas,B,2020,20112173
Inge-Cuc,B,2019,01226517
Dimensión Empresarial,B,2020,16928563
Dimensión Empresarial,B,2019,16928563
Encuentros,B,2020,16925858
Encuentros,B,2019,16925858
Revista Logos Ciencia 6& Tecnologia,B,2020,2145549X
Revista Colombiana De Obstetricia Y Ginecología,C,2019,00347434
Revista Colombiana De Obstetricia Y Ginecología,C,2020,00347434
Tesis Psicologica,B,2020,19098391
Historia Crítica,A2,2020,01211617
Prolegomenos : Derechos Y Valores,C,2020,0121182X
"Revista De Relaciones Internacionales, Estrategia Y Seguridad",C,2019,19093063
Revista Facultad De Ciencias Económicas : Investigación Y Reflexión,B,2020,01216805
Equidad & Desarrollo,C,2020,16927311
Actualidades Pedagógicas,C,2020,01201700
Trabajo Social,C,2019,01234986
Acta Biológica Colombiana,B,2019,0120548X
Revista De Salud Pública,C,2020,01240064
Avances De Enfermería,B,2020,01214500
Cuadernos De Geografía,B,2020,0121215X
Caldasia,B,2019,03665232
Revista De La Facultad De Medicina De La Universidad Nacional De Colombia,C,2019,01200011
Revista Colombiana De Anestesiología,B,2019,01203347
Earth Sciences Research Journal,B,2019,17946190
Revista Colombiana De Gastroenterología,C,2019,01209957
Revista De Arquitectura,B,2019,16570308
Revista De Arquitectura,B,2020,16570308
"Cuadernos De Música, Artes Visuales Y Artes Escénicas",C,2020,17946670
Universitas Psychologica,C,2019,16579267
Universitas Philosophica,C,2019,01205323
Cuadernos De Literatura,B,2019,01228102
Magis - Revista Internacional De Investigación En Educación,C,2019,20271174
Criterio Libre Jurídico,C,2019,17947200
Revista Escuela De Administración De Negocios,B,2020,01208160
Estudios Socio-Jurídicos,B,2019,01240579
Desafíos,C,2020,01244035
Suma De Negocios,B,2020,2215910X
Panorama,C,2020,19097433
Panorama,C,2019,19097433
Tecnura,B,2020,0123921X
Revista De Derecho,C,2020,01218697
Pensamiento & Gestión,B,2019,2145941X
