nombre_revista,clasificacion,ano,ISSN
Revista Guillermo De Ockman,C,2016,1794192X
Enunciación,C,2016,01226339
Colombian Applied Linguistics Journal,A2,2016,01234641
Ingeniería,B,2016,0121750X
Diversitas : Perspectivas En Psicología,A2,2016,17949998
Revista Colombiana De Antropología,A2,2016,04866525
Fronteras De La Historia,B,2016,20274688
Administración & Desarrollo,C,2016,01203754
Revista Juridica Ideas De Ideas,C,2016,2027307X
Territorios,B,2016,01238418
Universitas Odontologica,B,2016,01204319
Cuadernos De Contabilidad,A2,2016,01231472
Revista De Salud Pública,A1,2016,01240064
Revista Colombiana De Biotecnología,A2,2016,01233475
Agronomía Colombiana,A2,2016,01209965
Revista Colombiana De Anestesiología,A2,2016,01203347
"Literatura: Teoria, Historia, Critica",A2,2016,01235931
Sotavento Mba,C,2016,01233734
Colombia Internacional,A2,2016,01215612
Revista Colombiana De Obstetricia Y Ginecología,A2,2016,00347434
Palobra Palabra Que Obra,C,2016,16570111
Clio América,C,2016,1909941X
Revista Intropica,C,2016,1794161X
Orinoquia,A2,2016,01213709
Revista Investigium Ire: Ciencias Sociales Y Humanas,C,2016,22161473
Criterios,C,2016,01218670
Mundo Amazonico,C,2016,21455074
Medicina & Laboratorio,B,2016,01232576
Historelo : Revista De Historia Regional Y Local,A2,2016,2145132X
Revista Ces Derecho,C,2016,21457719
Revista Ces Medicina Veterinaria Y Zootecnia,A2,2016,19009607
Ad-Minister Revista Escuela De Administración,A2,2016,16920279
Perspectivas En Nutrición Humana,A2,2016,01244108
Revista Colombiana De Ciencias Pecuarias,A1,2016,01200690
Iatreia,A2,2016,01210793
Lingüística Y Literatura,B,2016,01205587
Revista Antioqueña De Las Ciencias Computacionales Y La Ingeniería De Software (Raccis),C,2016,22487441
Tecno Lógicas,A2,2016,01237799
International Journal Of Psychological Research,A2,2016,20117922
Iconofacto,C,2016,19002785
Informes Psicológicos,C,2016,21453535
Medicina Upb,B,2016,01204874
Revista De Derecho,A2,2016,01218697
Prospectiva,B,2016,16928261
Advocatus,B,2016,01240102
Revista Psicogente,B,2016,01240137
Quaestiones Disputatae,C,2016,20110472
Revista Colombiana De Ciencias Hortícolas,A2,2016,20112173
Praxis & Saber,A2,2016,22160159
Ciencia Y Agricultura,B,2016,01228420
Revista Q,C,2016,19092814
Discusiones Filosóficas,A2,2016,01246127
Agronomía,B,2016,05683076
Ambiente Jurídico,C,2016,01239465
Temas Agrarios,B,2016,01227610
Revista Respuestas,C,2016,0122820X
Revista Lebret,C,2016,21455996
Revista Cuidarte,B,2016,22160973
Salud Uis,A2,2016,01210807
Anuario De Historia Regional Y De Las Fronteras,A2,2016,01222066
Medunab,B,2016,01237047
Revista Colombiana De Ciencias Animal-Recia,B,2016,20274297
Criterio Jurídico,C,2016,16573978
Revista Colombiana Salud Libre,C,2016,19007841
Prospectiva,B,2016,01221213
Revista Gastrohnup,C,2016,01243691
Contextos,C,2016,21453985
Nova: Publicación Científica En Ciencias Médicas,A2,2016,17942470
Revista Urologia Colombiana,B,2016,0120789X
How,B,2016,01205927
Revista Colombiana De Psiquiatría,A1,2016,00347450
Infancias Imágenes,C,2016,16579089
Colombia Forestal,A2,2016,01200739
Hojas Y Hablas,C,2016,17947030
Revista Inge@Uan,C,2016,21450935
Vox Populi- Revista De La Escuela De Finanzas Y Estudios Internacionales De La Fundación Universitaria San Martín (Sede Bogotá),C,2016,17946298
Revista Colombiana De Educación,A2,2016,01203916
Pedagogía Y Saberes,B,2016,01212494
Cuadernos De Administración,A2,2016,01203592
Magis - Revista Internacional De Investigación En Educación,B,2016,20271174
Cuadernos De Vivienda Y Urbanismo,B,2016,20272103
Apuntes,A2,2016,16579763
Boletín De Antropología,B,2016,01202510
Revista Alimentos Hoy,C,2016,2027291X
