revista,categoria,ano,ISSN
APPLIED ERGONOMICS,A1,2021,0003-6870; 1872-9126
APPLIED MECHANICS REVIEWS,A1,2021,0003-6900; 1088-8535
APPLIED PHYSICS LETTERS,A1,2021,0003-6951; 1077-3118
ARCHAEOLOGY IN OCEANIA,A1,2021,0003-8121
ARCHAEOMETRY,A1,2021,0003-813X; 1475-4754
ARCHITECTURAL SCIENCE REVIEW,A1,2021,0003-8628; 1758-9622
ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS,A1,2021,0003-9527; 1432-0673
ARCHIVES OF AMERICAN ART JOURNAL,A1,2021,0003-9853; 2327-0667
ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,A1,2021,0003-9861; 1096-0384
ARCHIVES OF DISEASE IN CHILDHOOD,A1,2021,0003-9888; 1468-2044
ARCHIVES OF ORAL BIOLOGY,A1,2021,0003-9969; 1879-1506
ARCHIVES OF PATHOLOGY AND LABORATORY MEDICINE,A1,2021,0003-9985; 1543-2165
ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,A1,2021,0003-9993; 1532-821X
ARCHIVES OF SEXUAL BEHAVIOR,A1,2021,0004-0002; 1573-2800
ARCHIVO ESPANOL DE ARTE,A1,2021,0004-0428; 1988-8511
ARCHIVUM IMMUNOLOGIAE ET THERAPIAE EXPERIMENTALIS,A1,2021,0004-069X; 1661-4917
AREA,A1,2021,0004-0894; 1475-4762
ARIEL,A1,2021,0004-1327; 1920-1222
ARIZONA QUARTERLY,A1,2021,0004-1610; 1558-9595
ART EDUCATION,A1,2021,0004-3125; 2325-5161
ARTIFICIAL INTELLIGENCE,A1,2021,0004-3702; 1872-7921
JOURNAL OF THE ACM,A1,2021,0004-5411; 1557-735X
ASTRONOMICAL JOURNAL,A1,2021,0004-6256; 1538-3881
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN,A1,2021,0004-6264; 2053-051X
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC,A1,2021,0004-6280; 1538-3873
ASTROPHYSICAL JOURNAL,A1,2021,0004-637X; 1538-4357
AES JOURNAL OF THE AUDIO ENGINEERING SOCIETY,A1,2021,0004-7554; 1549-4950
AUK,A1,2021,0004-8038; 1938-4254
AUSTRALASIAN JOURNAL OF PHILOSOPHY,A1,2021,0004-8402; 1471-6828
AUSTRALIAN AND NEW ZEALAND JOURNAL OF CRIMINOLOGY,A1,2021,0004-8658; 1837-9273
AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY,A1,2021,0004-8674; 1440-1614
AUSTRALIAN ECONOMIC HISTORY REVIEW,A1,2021,0004-8992; 1467-8446
AUSTRALIAN JOURNAL OF FRENCH STUDIES,A1,2021,0004-9468; 2046-2913
AUTOMATICA,A1,2021,0005-1098; 1873-2836
BIOCHIMICA ET BIOPHYSICA ACTA BIOENERGETICS,A1,2021,0005-2728; 1879-2650
BIOCHIMICA ET BIOPHYSICA ACTA BIOMEMBRANES,A1,2021,0005-2736; 1879-2642
BEHAVIOR THERAPY,A1,2021,0005-7894; 1878-1888
JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,A1,2021,0005-7916; 1873-7943
BEHAVIOUR,A1,2021,0005-7959; 1568-539X
BEHAVIOUR RESEARCH AND THERAPY,A1,2021,0005-7967; 1873-622X
BEITRAGE ZUR GESCHICHTE DER DEUTSCHEN SPRACHE UND LITERATUR,A1,2021,0005-8076; 1865-9373
BETON UND STAHLBETONBAU,A1,2021,0005-9900; 1437-1006
BIBLICA,A1,2021,0006-0887; 2385-2062
BIJDRAGEN TOT DE TAAL LAND EN VOLKENKUNDE,A1,2021,0006-2294
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,A1,2021,0006-291X; 1090-2104
BIOCHEMICAL PHARMACOLOGY,A1,2021,0006-2952; 1873-2968
BIOCHEMISTRY,A1,2021,0006-2960; 1520-4995
BIOCHIMICA ET BIOPHYSICA ACTA GENERAL SUBJECTS,A1,2021,"0006-3002; 0304-4165;
1872-8006"
BIOLOGIA PLANTARUM,A1,2021,0006-3134; 1573-8264
BIOLOGICAL BULLETIN,A1,2021,0006-3185; 1939-8697
BIOLOGICAL CONSERVATION,A1,2021,0006-3207; 1873-2917
BIOLOGICAL PSYCHIATRY,A1,2021,0006-3223; 1873-2402
BIOLOGY OF REPRODUCTION,A1,2021,0006-3363; 1529-7268
BIOMETRICS,A1,2021,0006-341X; 1541-0420
BIOMETRIKA,A1,2021,0006-3444; 1464-3510
BIOPHYSICAL JOURNAL,A1,2021,0006-3495; 1542-0086
BIOSCIENCE,A1,2021,0006-3568; 1525-3244
BIOTECHNOLOGY AND BIOENGINEERING,A1,2021,0006-3592; 1097-0290
BIOTROPICA,A1,2021,0006-3606; 1744-7429
BIT NUMERICAL MATHEMATICS,A1,2021,0006-3835; 1572-9125
BLOOD,A1,2021,0006-4971; 1528-0020
BOGOSLOVNI VESTNIK,A1,2021,0006-5722; 1581-2987
